competencia,dimension,grupo,anio,puntaje,comparabilidad_area,fuente
Matemática,Área,Urbana,2018,407,Ruptura metodológica entre 2018 y 2022 por cambio de definición de ruralidad,UMC PISA 2022 / Minedu Brochure PISA 2025
Matemática,Área,Urbana,2022,401,Ruptura metodológica entre 2018 y 2022 por cambio de definición de ruralidad,UMC PISA 2022 / Minedu Brochure PISA 2025
Matemática,Área,Urbana,2025,392,Ruptura metodológica entre 2018 y 2022 por cambio de definición de ruralidad,UMC PISA 2022 / Minedu Brochure PISA 2025
Matemática,Área,Rural,2009,291,Ruptura metodológica entre 2018 y 2022 por cambio de definición de ruralidad,UMC PISA 2022 / Minedu Brochure PISA 2025
Matemática,Área,Rural,2012,302,Ruptura metodológica entre 2018 y 2022 por cambio de definición de ruralidad,UMC PISA 2022 / Minedu Brochure PISA 2025
Matemática,Área,Rural,2015,327,Ruptura metodológica entre 2018 y 2022 por cambio de definición de ruralidad,UMC PISA 2022 / Minedu Brochure PISA 2025
Matemática,Área,Rural,2018,334,Ruptura metodológica entre 2018 y 2022 por cambio de definición de ruralidad,UMC PISA 2022 / Minedu Brochure PISA 2025
Matemática,Área,Rural,2022,345,Ruptura metodológica entre 2018 y 2022 por cambio de definición de ruralidad,UMC PISA 2022 / Minedu Brochure PISA 2025
Matemática,Área,Rural,2025,343,Ruptura metodológica entre 2018 y 2022 por cambio de definición de ruralidad,UMC PISA 2022 / Minedu Brochure PISA 2025
Lectura,Nacional,Perú,2009,370,,UMC PISA 2022 / Minedu Brochure PISA 2025
Lectura,Nacional,Perú,2012,384,,UMC PISA 2022 / Minedu Brochure PISA 2025
Lectura,Nacional,Perú,2015,398,,UMC PISA 2022 / Minedu Brochure PISA 2025
Lectura,Nacional,Perú,2018,401,,UMC PISA 2022 / Minedu Brochure PISA 2025
Lectura,Nacional,Perú,2022,408,,UMC PISA 2022 / Minedu Brochure PISA 2025
Lectura,Nacional,Perú,2025,390,,UMC PISA 2022 / Minedu Brochure PISA 2025
Lectura,Sexo,Hombre,2009,359,,UMC PISA 2022 / Minedu Brochure PISA 2025
Lectura,Sexo,Hombre,2012,373,,UMC PISA 2022 / Minedu Brochure PISA 2025
Lectura,Sexo,Hombre,2015,394,,UMC PISA 2022 / Minedu Brochure PISA 2025
Lectura,Sexo,Hombre,2018,395,,UMC PISA 2022 / Minedu Brochure PISA 2025
Lectura,Sexo,Hombre,2022,404,,UMC PISA 2022 / Minedu Brochure PISA 2025
Lectura,Sexo,Hombre,2025,382,,UMC PISA 2022 / Minedu Brochure PISA 2025
Lectura,Sexo,Mujer,2009,381,,UMC PISA 2022 / Minedu Brochure PISA 2025
Lectura,Sexo,Mujer,2012,395,,UMC PISA 2022 / Minedu Brochure PISA 2025
Lectura,Sexo,Mujer,2015,401,,UMC PISA 2022 / Minedu Brochure PISA 2025
Lectura,Sexo,Mujer,2018,406,,UMC PISA 2022 / Minedu Brochure PISA 2025
Lectura,Sexo,Mujer,2022,412,,UMC PISA 2022 / Minedu Brochure PISA 2025
Lectura,Sexo,Mujer,2025,399,,UMC PISA 2022 / Minedu Brochure PISA 2025
Lectura,Gestión,Privada,2009,435,,UMC PISA 2022 / Minedu Brochure PISA 2025
Lectura,Gestión,Privada,2012,436,,UMC PISA 2022 / Minedu Brochure PISA 2025
Lectura,Gestión,Privada,2015,447,,UMC PISA 2022 / Minedu Brochure PISA 2025
Lectura,Gestión,Privada,2018,457,,UMC PISA 2022 / Minedu Brochure PISA 2025
Lectura,Gestión,Privada,2022,457,,UMC PISA 2022 / Minedu Brochure PISA 2025
Lectura,Gestión,Privada,2025,435,,UMC PISA 2022 / Minedu Brochure PISA 2025
Lectura,Gestión,Pública,2009,348,,UMC PISA 2022 / Minedu Brochure PISA 2025
Lectura,Gestión,Pública,2012,367,,UMC PISA 2022 / Minedu Brochure PISA 2025
Lectura,Gestión,Pública,2015,380,,UMC PISA 2022 / Minedu Brochure PISA 2025
Lectura,Gestión,Pública,2018,381,,UMC PISA 2022 / Minedu Brochure PISA 2025
Lectura,Gestión,Pública,2022,391,,UMC PISA 2022 / Minedu Brochure PISA 2025
Lectura,Gestión,Pública,2025,373,,UMC PISA 2022 / Minedu Brochure PISA 2025
