area;female;level;male;national;private;public;year
Matemática;6.82127;Nivel 3;9.86611;8.36974;16.7605459270459;5.12481524859276;2025
Matemática;1.48767;Nivel 4;2.68093;2.09451;5.479156253574458;0.7855849791676265;2025
Matemática;0.21941000000000002;Nivel 5;0.39814000000000005;0.31031000000000003;0.8910434933922703;0.08572231716258555;2025
Matemática;0.00237;Nivel 6;0.024270000000000003;0.013510000000000001;0.03872854163317747;0.003753261424757301;2025
Ciencia;35.715807199645;Debajo de Nivel 1;34.85967415624;35.283445391609;12.6;42.7;2009
Ciencia;32.664746081337;Nivel 1;33.376791230063;33.024341041814;28.77;34.408;2009
Ciencia;22.106254824557;Nivel 2;21.301847159685;21.700015216051;32.91;18.046;2009
Ciencia;8.091493996135;Nivel 3;7.899358089532;7.994462081986;18.988;4.412000000000001;2009
Ciencia;1.340113762274;Nivel 4;2.241711294175;1.795435913447;5.9;0.458;2009
Ciencia;0.069332525201;Nivel 5;0.293077752227;0.18232768599;0.7120000000000001;0.01;2009
Ciencia;0.012251610851;Nivel 6;0.027540318077;0.019972669102;0.082;0;2009
Ciencia;32.5995380234565;Debajo de Nivel 1;30.24648907038495;31.456231971653263;14.4;37.2;2012
Ciencia;36.69393781764726;Nivel 1;37.3620000027514;37.01853775349359;30.682;39.158;2012
Ciencia;23.067982218138116;Nivel 2;23.92271151444617;23.483280495654636;34.84;19.651999999999997;2012
Ciencia;6.62103863506732;Nivel 3;7.49565212837298;7.045998302217413;16.89;3.724;2012
Ciencia;0.9738648082797531;Nivel 4;0.9425301789432986;0.9586398503354552;3.0160000000000005;0.266;2012
Ciencia;0.0436384974110382;Nivel 5;0.03061710510120008;0.037311626645646356;0.18250000000000002;0;2012
Ciencia;0;Nivel 6;0;0;0;0;2012
Ciencia;3.196;Debajo de Nivel 1b;2.371;2.7812250361181476;0.908;3.4430000000000005;2015
Ciencia;20.236;Nivel 1b;17.794999999999998;19.010008366190714;8.238999999999999;22.811000000000003;2015
Ciencia;37.309000000000005;Nivel 1a;36.039;36.670556869669774;27.193;40.015;2015
Ciencia;27.334999999999997;Nivel 2;28.414000000000005;27.876935305180456;35.896;25.046;2015
Ciencia;10.328;Nivel 3;12.653000000000002;11.496092822425018;21.812999999999995;7.854000000000001;2015
Ciencia;1.514;Nivel 4;2.568;2.043969320985429;5.606999999999999;0.7869999999999999;2015
Ciencia;0.08199999999999999;Nivel 5;0.15899999999999997;0.12121227943046338;0.347;0.042;2015
Ciencia;0;Nivel 6;0;0;0;0;2015
Ciencia;3.35;Debajo de Nivel 1b;2.05;2.69;0.96;3.28;2018
Ciencia;18.14;Nivel 1b;16.41;17.26;6.24;21.01;2018
Ciencia;35.59;Nivel 1a;33.53;34.54;22.41;38.68;2018
Ciencia;29.11;Nivel 2;28.93;29.01;35.67;26.74;2018
Ciencia;11.69;Nivel 3;14.58;13.16;26.23;8.7;2018
Ciencia;2.02;Nivel 4;4.17;3.12;7.83;1.51;2018
Ciencia;0.09;Nivel 5;0.33;0.21;0.64;0.07;2018
Ciencia;0;Nivel 6;0.01;0;0.02;0;2018
Ciencia;3.7;Debajo de Nivel 1b;3.08;3.39;1.02;4.22;2022
Ciencia;18.09;Nivel 1b;15.93;17.01;6.38;20.76;2022
Ciencia;34;Nivel 1a;30.38;32.19;21.84;35.83;2022
Ciencia;28.15;Nivel 2;28.22;28.18;35.32;25.67;2022
Ciencia;12.89;Nivel 3;16.61;14.75;25.81;10.86;2022
Ciencia;2.91;Nivel 4;4.99;3.95;8.32;2.42;2022
Ciencia;0.246;Nivel 5;0.75;0.5;1.26;0.23;2022
Ciencia;0.01;Nivel 6;0.04;0.02;0.06;0.01;2022
Ciencia;3.54916;Debajo de Nivel 1b;2.65817;3.0960400000000003;0.821724269265858;3.975577029386;2025
Ciencia;17.042900000000003;Nivel 1b;16.08062;16.553530000000002;7.535286414879204;20.04109814632518;2025
Ciencia;34.52013;Nivel 1a;31.271500000000003;32.86802;22.76206905446702;36.77623603681562;2025
Ciencia;30.487640000000003;Nivel 2;30.772050000000004;30.63228;36.60305227704217;28.32324035066673;2025
Ciencia;12.398090000000002;Nivel 3;15.227800000000002;13.837150000000001;24.82174825436359;9.589149900807149;2025
Ciencia;1.8784500000000002;Nivel 4;3.7457000000000003;2.82805;6.880671145804749;1.260802831635054;2025
Ciencia;0.12362000000000001;Nivel 5;0.23947000000000002;0.18253000000000003;0.5668848960010016;0.0338957043642739;2025
Ciencia;0;Nivel 6;0.0047;0.00239;0.008563688176401851;0;2025
