pais_economia,ciencia_2025,lectura_2025,matematica_2025,observacion,fuente
Bulgaria,421,387,405,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Kazajistán,420,385,414,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Malasia,419,393,397,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Colombia,414,399,381,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
México,414,408,388,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Arabia Saudita,413,387,390,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Chipre,411,379,412,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Azerbaiyán,409,374,422,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Brasil,409,408,377,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Jordania,407,363,388,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Perú,406,390,382,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Ecuador,393,385,366,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Argentina,393,389,367,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Indonesia,389,365,364,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
El Salvador,385,366,346,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Camboya,382,347,366,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Macedonia del Norte,378,357,380,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Filipinas,373,367,371,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Líbano,372,331,377,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Armenia,369,348,376,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Kirguistán,363,344,364,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
República Dominicana,361,346,339,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Autoridad Palestina,359,350,354,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Marruecos,358,321,355,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Kosovo,357,340,350,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Paraguay,355,352,334,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Región del Kurdistán (Iraq),352,312,339,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Guatemala,351,337,334,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Zambia,337,325,314,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Kenia,335,320,326,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Dushanbe (Tayikistán),334,368,382,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Ruanda,317,301,312,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
