dataset,competencia,pais_economia,anio,indicador,dimension,grupo,nivel,valor,valor_2,valor_3,unidad,nota,fuente,archivo_origen
Resultados internacionales 2025,Matemática,Suecia,2025,Puntaje medio,,,,464,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Ciencia,Eslovenia,2025,Puntaje medio,,,,484,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Lectura,Eslovenia,2025,Puntaje medio,,,,445,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Matemática,Eslovenia,2025,Puntaje medio,,,,460,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Ciencia,Francia,2025,Puntaje medio,,,,483,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Lectura,Francia,2025,Puntaje medio,,,,456,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Matemática,Francia,2025,Puntaje medio,,,,458,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Ciencia,Italia,2025,Puntaje medio,,,,483,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Lectura,Italia,2025,Puntaje medio,,,,474,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Matemática,Italia,2025,Puntaje medio,,,,468,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Ciencia,Portugal,2025,Puntaje medio,,,,482,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Lectura,Portugal,2025,Puntaje medio,,,,462,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Matemática,Portugal,2025,Puntaje medio,,,,460,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Ciencia,Hungría,2025,Puntaje medio,,,,480,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Lectura,Hungría,2025,Puntaje medio,,,,452,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Matemática,Hungría,2025,Puntaje medio,,,,459,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Ciencia,Dinamarca,2025,Puntaje medio,,,,478,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Lectura,Dinamarca,2025,Puntaje medio,,,,460,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Matemática,Dinamarca,2025,Puntaje medio,,,,471,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Ciencia,España,2025,Puntaje medio,,,,477,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Lectura,España,2025,Puntaje medio,,,,451,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Matemática,España,2025,Puntaje medio,,,,457,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Ciencia,Croacia,2025,Puntaje medio,,,,476,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Lectura,Croacia,2025,Puntaje medio,,,,453,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
